"","x"
"1",1716873.49381526
"2",1805283.31166319
"3",1879778.65525967
"4",1988547.31444916
"5",1446144.33615756
"6",1454247.56762255
"7",1516600.62909636
"8",1787116.33570952
"9",1593432.82640159
"10",1391105.40665756
"11",1814945.54040408
"12",1978297.27491118
"13",2020471.83890554
"14",2042330.30838336
"15",1346730.24431303
"16",1652873.30869261
"17",1632996.67654088
"18",1480027.92853452
"19",1640545.7640716
"20",1422033.40973577
"21",1531148.28604788
"22",1837884.20883941
"23",1682665.75251748
"24",1765935.1091548
"25",1753525.15433895
"26",1969087.64760695
"27",2066949.10108691
"28",1917609.1712612
"29",2147891.42557844
"30",2155836.8815469
