"","x"
"1",1469111.8222081
"2",1522290.0279939
"3",1574703.6314595
"4",1919962.8132602
"5",1999069.63714863
"6",1675241.90016515
"7",1431332.33857684
"8",1462572.33323703
"9",1515218.70809218
"10",1509661.78299144
"11",1519257.1331546
"12",1500821.06326323
"13",1533858.98069092
"14",1485443.06240691
"15",1563217.76975116
"16",1707487.34289836
"17",2377227.52045952
"18",2050411.57640635
"19",1713452.9789842
"20",1651249.6785719
"21",1394282.16822409
"22",1546197.82632541
"23",1445064.23564396
"24",1476613.01241321
"25",1420127.50934248
"26",1637585.74828792
"27",1449386.15889888
"28",1503529.38504532
"29",1462338.6683847
"30",1559027.78959373
"31",1412190.90577009
