"","x"
"1",1381080.41471525
"2",1307075.71032628
"3",1602460.38831818
"4",1782973.22829048
"5",1783303.29394697
"6",2073810.54738571
"7",2140921.50609524
"8",1847717.97013875
"9",1758688.43519351
"10",1665026.44704827
"11",1933593.8253619
"12",1409370.05468095
"13",1382400.7243196
"14",1610986.18625794
"15",2109191.30397367
"16",2380483.71655
"17",2869125.95884048
"18",2101901.51304872
"19",2794673.42428333
"20",2081180.69765
"21",1494441.82164416
"22",1444621.95250505
"23",1643739.8159078
"24",1545720.05255144
"25",1460522.31421286
"26",1439373.47597385
"27",1425098.36554188
"28",1441504.82812489
