"","x"
"1",1343790.17371285
"2",1478543.15233333
"3",1383801.10762721
"4",1401799.47722404
"5",1426328.28580977
"6",1409903.17924721
"7",1506190.2846811
"8",1417357.61972814
"9",1917189.43241034
"10",2114784.99937857
"11",1707679.05925628
"12",1342524.83720754
"13",1324422.49908047
"14",1393424.14261673
"15",1397643.40496654
"16",1384791.33871317
"17",1483839.73537857
"18",1538598.59033333
"19",1523654.67149444
"20",1655805.98241905
"21",1458031.30454868
"22",1388401.98646769
"23",1426380.14560549
"24",1561460.13246667
"25",1889243.54045238
"26",2344065.10464762
"27",2060687.81687778
"28",1579054.97005238
"29",2374052.15626667
"30",2323429.83421111
"31",1797610.51663333
