"","x"
"1",1552791.51327668
"2",1309731.36434755
"3",1337661.72753547
"4",1437178.30418948
"5",1981450.31306349
"6",2084658.18839048
"7",1607540.15574873
"8",1574749.97986182
"9",1393141.14933927
"10",1382351.65374127
"11",1578565.15033935
"12",1606052.71234552
"13",1583413.09736092
"14",1555124.25617894
"15",1543666.6170215
"16",1492619.58027327
"17",1697910.69771667
"18",1884477.53261667
"19",1793678.65587492
"20",1523442.75071071
"21",1544955.07791151
"22",1560931.1493518
"23",1610501.34186283
"24",1677747.54922219
"25",1782409.12728682
"26",1778323.66889513
"27",1677515.80988233
"28",1618216.66508232
"29",1764135.44745657
"30",1486018.43961587
"31",1613849.7887216
