"","x"
"1",1761639.47551082
"2",1502255.06440668
"3",1448735.97841406
"4",1362283.46351917
"5",1369082.09303288
"6",1404813.37674781
"7",1510423.24682821
"8",1857070.82914762
"9",1681433.16415079
"10",1537301.87384127
"11",1380228.9027574
"12",1400080.10607905
"13",1423548.85080194
"14",1521605.89392159
"15",1410207.67424961
"16",1932664.92833809
"17",2190144.20325714
"18",1462782.67430238
"19",1414857.66048027
"20",1406803.07807065
"21",1441602.31737915
"22",1460029.63746767
"23",1364493.3580472
"24",1334181.42719057
"25",1505521.35963772
"26",1544537.08101035
"27",1389835.4082773
"28",1486103.02336886
"29",1444325.62850934
"30",1328950.6516579
