"","x"
"51121",979578.611230466
"51122",937090.868292558
"51123",931004.193499575
"51124",908103.303885033
"51125",907597.077280271
"51126",950818.593446573
"51127",1167505.56881874
"51128",1208800.90367318
"51129",1240491.4326886
"51130",1255643.68212887
"51131",1270023.0221024
"51132",1338994.8725006
"51133",1422967.98349815
"51134",1481733.93267628
"51135",1512148.91795789
"51136",1554101.27613776
"51137",1494333.87179448
"51138",1545200.7733671
"51139",1563564.69307266
"51140",1509405.8515377
"51141",1498987.55338351
"51142",1451408.00770398
"51143",1297687.62524347
"51144",1233018.15814453
"51145",947382.43354767
"51146",890248.00332402
"51147",878444.10678818
"51148",880084.068269954
"51149",865645.685206887
"51150",917077.502606915
"51151",1152315.69860967
"51152",1186025.62039423
"51153",1225001.13959785
"51154",1229938.02830193
"51155",1241127.34341492
"51156",1250231.41038135
"51157",1297321.81405491
"51158",1323938.75930892
"51159",1377058.90173623
"51160",1356522.46327433
"51161",1366093.46964575
"51162",1457930.77833805
"51163",1450648.30986278
"51164",1406679.21984358
"51165",1303848.08473387
"51166",1251490.93091854
"51167",1124539.20857556
"51168",1017127.12150726
"51169",848405.264190081
"51170",826955.041175085
"51171",821754.931274596
"51172",821816.696311427
"51173",836740.243744857
"51174",898777.684924048
"51175",1119443.31684396
"51176",1272286.87224065
"51177",1258438.76182743
"51178",1259627.82102552
"51179",1236352.92891059
"51180",1235132.50431185
"51181",1231767.42834646
"51182",1243386.65592797
"51183",1246755.32036447
"51184",1272447.84327624
"51185",1305196.04287092
"51186",1409947.60483121
"51187",1312858.79159364
"51188",1274711.23318345
"51189",1255115.45137193
"51190",1255667.87693923
"51191",1121341.15328559
"51192",1054899.41432125
"51193",892279.66199944
"51194",890418.083262297
"51195",914375.815729663
"51196",920368.870359129
"51197",950918.622892462
"51198",1046682.47301212
"51199",1325074.61927804
"51200",1240909.86748459
"51201",1240210.1724441
"51202",1243178.23543274
"51203",1246765.79806505
"51204",1240171.99523226
"51205",1257953.91192292
"51206",1281613.22096278
"51207",1307485.36581204
"51208",1312017.63431483
"51209",1279853.77408158
"51210",1303512.62481148
"51211",1324524.58342622
"51212",1298102.36073562
"51213",1293437.00168817
"51214",1272195.77198088
"51215",1152805.8038261
"51216",1140753.87976419
"51217",928477.628934297
"51218",916886.292490477
"51219",962319.095012088
"51220",976286.348917643
"51221",982871.704804823
"51222",1052994.08491924
"51223",1383434.00298516
"51224",1260205.83335694
"51225",1256400.69423084
"51226",1214973.56972374
"51227",1223633.08157378
"51228",1227507.56625178
"51229",1261059.99734823
"51230",1267823.62918917
"51231",1269882.88089263
"51232",1279092.82536484
"51233",1263240.4095038
"51234",1300158.9567568
"51235",1329880.51219136
"51236",1306638.64218555
"51237",1303607.17550089
"51238",1270930.25233127
"51239",1151832.37405691
"51240",1090094.60333306
"51241",937166.956922748
"51242",932803.14738193
"51243",974196.58297149
"51244",954376.96974066
"51245",992982.881593712
"51246",1071908.73897065
"51247",1363699.40638918
"51248",1270982.37260346
"51249",1206366.35115997
"51250",1226669.31387729
"51251",1214286.86389663
"51252",1245293.99776292
"51253",1268217.46355722
"51254",1318204.38148721
"51255",1299834.80642307
"51256",1288837.51394844
"51257",1298675.57674013
"51258",1397484.48396396
"51259",1331967.95618198
"51260",1339296.70832821
"51261",1320305.15180377
"51262",1283098.513863
"51263",1125146.78727026
"51264",1099312.68319692
"51265",859468.159908022
"51266",856538.601972776
"51267",887437.305596911
"51268",904571.269801427
"51269",922891.305142118
"51270",1017483.29337797
"51271",1280774.09696344
"51272",1346681.01471452
"51273",1308216.65471367
"51274",1306652.38079887
"51275",1223376.35848458
"51276",1216798.70613813
"51277",1220172.2122898
"51278",1212685.9775677
"51279",1221727.44332886
"51280",1221349.09282544
"51281",1224230.88111304
"51282",1345092.78186621
"51283",1368543.71812904
"51284",1360452.51883063
"51285",1416454.26353123
"51286",1436369.13459826
"51287",1403671.64941783
"51288",1408827.08587442
"51289",1216778.07899416
"51290",1292725.36450306
"51291",1360604.79943362
"51292",1366705.77445862
"51293",1472154.07806305
"51294",1547823.730104
"51295",1707361.80562824
"51296",1483026.36001233
"51297",1342080.18772705
"51298",1293088.76365117
"51299",1208595.01567534
"51300",1215236.4394239
"51301",1211048.94246537
"51302",1210846.14770287
"51303",1210235.3543355
"51304",1218675.65660383
"51305",1233416.70625492
"51306",1319784.93511464
"51307",1323360.07380889
"51308",1347877.96832237
"51309",1351577.62347029
"51310",1335643.84654115
"51311",1281993.12254177
"51312",1303898.8409247
"51313",1066845.39798325
"51314",1085360.7506205
"51315",1130577.07359462
"51316",1174700.00605017
"51317",1182914.80551128
"51318",1307093.12653569
"51319",1564075.59890227
"51320",1398127.7779835
"51321",1291023.03083635
"51322",1243137.42799518
"51323",1240493.99350342
"51324",1216861.08668417
"51325",1212413.87128306
"51326",1211165.12507769
"51327",1201683.56627225
"51328",1234731.04576605
"51329",1233483.32476728
"51330",1302899.50279108
"51331",1322245.06464073
"51332",1338148.43436038
"51333",1416796.40500648
"51334",1387347.16641384
"51335",1339946.02542134
"51336",1353214.92151245
"51337",1123930.77891879
"51338",1057157.49482868
"51339",1168391.5161642
"51340",1156529.00240865
"51341",1162118.36862531
"51342",1235541.77950607
"51343",1447224.06272643
"51344",1453477.71875999
"51345",1254410.40542456
"51346",1244413.97544121
"51347",1231714.30663645
"51348",1240321.46184805
"51349",1222949.36402775
"51350",1219085.73074112
"51351",1219007.58520418
"51352",1228922.99663391
"51353",1230289.43928874
"51354",1297209.55919005
"51355",1285013.37879388
"51356",1275436.07424372
"51357",1268132.04250887
"51358",1256251.12920433
"51359",1178484.37487281
"51360",1130229.98813521
"51361",925177.274229817
"51362",929365.743094275
"51363",934401.19445618
"51364",949114.745790269
"51365",959065.605740269
"51366",1034560.77063444
"51367",1243860.59975986
"51368",1233927.37728158
"51369",1229778.17547946
"51370",1251503.91984837
"51371",1230441.03087396
"51372",1230804.03350705
"51373",1242972.287876
"51374",1247305.77097245
"51375",1235374.07096728
"51376",1235723.712126
"51377",1264281.7022349
"51378",1324446.0709621
"51379",1350481.45130548
"51380",1370181.03721349
"51381",1318846.27173508
"51382",1294818.52550719
"51383",1137589.82415415
"51384",1061533.45937628
"51385",851263.341499979
"51386",833749.541006299
"51387",847005.148943811
"51388",855292.206432731
"51389",892103.813837059
"51390",1018667.1889008
"51391",1167257.76320941
"51392",1226824.96071517
"51393",1208879.35583626
"51394",1206270.77643945
"51395",1206525.8832374
"51396",1248972.92746055
"51397",1287447.60691861
"51398",1248248.60703309
"51399",1257205.19305505
"51400",1260792.54483753
"51401",1250691.20343306
"51402",1379962.72777576
"51403",1355222.9832633
"51404",1380945.3030209
"51405",1352321.67248775
"51406",1296413.73671657
"51407",1149408.16079225
"51408",1057200.14813396
"51409",877972.958054315
"51410",862126.651281611
"51411",868884.352564887
"51412",885798.373520066
"51413",877796.589917251
"51414",930596.17325173
"51415",1188201.76579649
"51416",1235680.08059615
"51417",1218994.17426018
"51418",1213636.86586235
"51419",1219614.37484275
"51420",1243520.34874886
"51421",1256464.60468872
"51422",1265300.82635101
"51423",1276293.75528434
"51424",1329137.94936871
"51425",1330298.63676812
"51426",1371172.49216235
"51427",1368129.19955843
"51428",1367621.95109269
"51429",1357593.83474314
"51430",1320415.04035466
"51431",1161226.06877499
"51432",1093784.39860219
"51433",875551.033738288
"51434",857372.974292867
"51435",844882.254453273
"51436",861263.543319319
"51437",877442.748200921
"51438",989486.621530378
"51439",1186094.26808728
"51440",1262811.49807918
"51441",1227254.28530952
"51442",1204079.91726279
"51443",1219758.44697159
"51444",1309910.77786627
"51445",1378556.40705308
"51446",1387244.82650308
"51447",1325739.90387076
"51448",1402447.2123007
"51449",1294954.97484125
"51450",1403282.95129585
"51451",1376790.28063217
"51452",1361529.64425947
"51453",1345465.08060356
"51454",1330995.37368738
"51455",1164588.34231359
"51456",1057260.51842855
"51457",873491.538479901
"51458",863690.877836663
"51459",868642.542735527
"51460",860262.743989098
"51461",867218.10526373
"51462",945226.414280613
"51463",1219060.55827629
"51464",1258288.76717949
"51465",1227794.16790704
"51466",1198681.9420094
"51467",1221526.73316538
"51468",1259296.31811505
"51469",1286673.80723083
"51470",1283028.45927775
"51471",1275993.97761845
"51472",1244254.03396393
"51473",1234019.74184631
"51474",1325037.72595305
"51475",1377046.17051985
"51476",1406549.99289288
"51477",1369231.68464424
"51478",1315547.48917048
"51479",1203714.98566111
"51480",1297163.87434954
"51481",1065907.87638959
"51482",1109167.80150873
"51483",1200382.03725915
"51484",1316860.72672674
"51485",1360544.75987324
"51486",1524993.99139261
"51487",1744814.1323104
"51488",1730673.05766797
"51489",1637273.25995605
"51490",1538997.64243022
"51491",1393080.11465829
"51492",1407960.47367818
"51493",1348470.59106842
"51494",1329861.95178421
"51495",1314994.53908011
"51496",1314873.57338011
"51497",1347835.84731098
"51498",1432208.93302778
"51499",1501449.36771178
"51500",1520951.47521582
"51501",1581063.01196875
"51502",1690188.44170174
"51503",1707030.08169481
"51504",1738383.22453226
"51505",1594236.54467136
"51506",1592712.42985407
"51507",1640530.20255537
"51508",1674049.20358394
"51509",1712093.10948394
"51510",1729653.95092386
"51511",1890294.10272562
"51512",1792567.36748478
"51513",1589374.96764094
"51514",1345408.26524529
"51515",1246395.27825748
"51516",1233673.66660016
"51517",1217542.35437397
"51518",1223929.28050626
"51519",1214514.79204261
"51520",1213158.79260791
"51521",1230501.15584986
"51522",1294384.6959945
"51523",1350821.13263816
"51524",1404919.41676129
"51525",1405718.30641744
"51526",1389296.52276483
"51527",1306942.33444811
"51528",1351663.03592222
"51529",1103524.00187255
"51530",1122265.93178299
"51531",1154708.88978598
"51532",1143111.19266213
"51533",1197418.37724666
"51534",1268923.13038307
"51535",1506702.13884654
"51536",1402305.69632207
"51537",1310223.37552609
"51538",1264810.09717232
"51539",1245233.23230402
"51540",1233652.01090634
"51541",1249466.43075559
"51542",1242786.03493473
"51543",1251143.87561569
"51544",1264444.27232556
"51545",1263328.1624474
"51546",1347696.48599714
"51547",1367641.0714794
"51548",1396504.41557635
"51549",1382595.10186197
"51550",1326684.774856
"51551",1164655.59047439
"51552",1083076.50077344
"51553",858241.559587814
"51554",861511.474993995
"51555",855999.192794775
"51556",866112.047905742
"51557",860852.488839617
"51558",915697.357283077
"51559",1218917.77255763
"51560",1289881.75274165
"51561",1237990.90530482
"51562",1228064.67994368
"51563",1216740.00526655
"51564",1253606.28708042
"51565",1268268.34447174
"51566",1270272.99047754
"51567",1278447.82475373
"51568",1278642.31686817
"51569",1267312.70284884
"51570",1402692.72748479
"51571",1384967.23991056
"51572",1399728.36619835
"51573",1384577.72542049
"51574",1316154.82992538
"51575",1176417.36907876
"51576",1102120.20902523
"51577",881871.342472171
"51578",857601.450367479
"51579",878332.356329903
"51580",881209.741163237
"51581",890074.849455011
"51582",960144.340512184
"51583",1206438.96585171
"51584",1272820.57313387
"51585",1214810.62535553
"51586",1208878.88911474
"51587",1247756.80781379
"51588",1271201.93127511
"51589",1302248.60535664
"51590",1309149.08913955
"51591",1327445.26180859
"51592",1321226.75790758
"51593",1317056.94992607
"51594",1406019.97245622
"51595",1394584.72311957
"51596",1379512.25870166
"51597",1365010.92427201
"51598",1335239.90066853
"51599",1181008.08396448
"51600",1086604.28617789
"51601",888660.237301761
"51602",876932.033178711
"51603",873997.071387284
"51604",875612.458585691
"51605",881492.671042618
"51606",950796.063724982
"51607",1242327.53833647
"51608",1316867.12912772
"51609",1205618.77955574
"51610",1237145.46122613
"51611",1266305.60406765
"51612",1295020.41030801
"51613",1372980.13802793
"51614",1347591.54584308
"51615",1322291.33513997
"51616",1324152.42756624
"51617",1338056.1768094
"51618",1420178.70019832
"51619",1412841.52426796
"51620",1356845.55926653
"51621",1332819.00235243
"51622",1295711.72935491
"51623",1152620.97430371
"51624",1052342.92040449
"51625",865224.879852908
"51626",837022.181620905
"51627",823921.286975003
"51628",823889.028995095
"51629",828619.97022291
"51630",904245.385516917
"51631",1188166.38343588
"51632",1206825.50029476
"51633",1216393.62002298
"51634",1216713.57261178
"51635",1217260.29637193
"51636",1224103.11440229
"51637",1233225.33916511
"51638",1239402.37946182
"51639",1264254.43042175
"51640",1261878.74541073
"51641",1286465.01203701
"51642",1426812.54330158
"51643",1427285.07156914
"51644",1384158.24054246
"51645",1364555.75285858
"51646",1318041.05531912
"51647",1179722.98807413
"51648",1085976.23159355
"51649",885264.055564124
"51650",858472.321017891
"51651",852704.668185712
"51652",854693.781007141
"51653",862893.517384182
"51654",927995.736604955
"51655",1207901.26438196
"51656",1284497.64805941
"51657",1341864.40028369
"51658",1362815.25460559
"51659",1303544.03509733
"51660",1284724.72789955
"51661",1257411.32235312
"51662",1256578.81559274
"51663",1223533.51102147
"51664",1207862.68418012
"51665",1228017.76884881
"51666",1324424.74065485
"51667",1341367.5754468
"51668",1360662.60209963
"51669",1349299.30508813
"51670",1340894.51683872
"51671",1226256.9934754
"51672",1174020.77412859
"51673",991341.51264091
"51674",991116.80277457
"51675",1003972.61315085
"51676",1007792.36455085
"51677",1019614.58379745
"51678",1067621.89098112
"51679",1210306.4680086
"51680",1327998.37467159
"51681",1339537.20778499
"51682",1292830.10290556
"51683",1261796.24133717
"51684",1248785.94563926
"51685",1283247.74777894
"51686",1284173.43276942
"51687",1282346.63209561
"51688",1226097.55725093
"51689",1240629.34707035
"51690",1346527.34948009
"51691",1329189.98252806
"51692",1312917.74356866
"51693",1289174.03077783
"51694",1272794.53346976
"51695",1154037.42463534
"51696",1059512.68045357
"51697",868291.770199303
"51698",843250.501797172
"51699",828426.877547084
"51700",824819.353887662
"51701",826165.845955519
"51702",885943.279519478
"51703",1104775.67710279
"51704",1198031.87175209
"51705",1261981.17405751
"51706",1266307.61187547
"51707",1286420.4322443
"51708",1284994.25695793
"51709",1326064.7449561
"51710",1383846.65776017
"51711",1401104.75388279
"51712",1320537.51125476
"51713",1327569.50015238
"51714",1423991.92568215
"51715",1473759.59384801
"51716",1455344.85015102
"51717",1429607.15111324
"51718",1371703.62050849
"51719",1184367.59306358
