"","x"
"43825",907206.653453563
"43826",842429.597022619
"43827",834262.579558333
"43828",812455.940950167
"43829",813001.562416833
"43830",846551.891836577
"43831",1008528.60440228
"43832",1021532.97877571
"43833",1126516.73995596
"43834",1179310.59328663
"43835",1189377.35129417
"43836",1202272.22693821
"43837",1192729.18348107
"43838",1190929.0295779
"43839",1181867.44118449
"43840",1175263.49742655
"43841",1173179.57839688
"43842",1252186.7808695
"43843",1298729.13269297
"43844",1313862.43734611
"43845",1301849.61494849
"43846",1287030.87160387
"43847",1170932.23888354
"43848",1082900.71197977
"43849",861529.909585714
"43850",846840.660701226
"43851",859077.187714719
"43852",893049.308738096
"43853",951601.651148052
"43854",1043171.45292424
"43855",1274071.55052868
"43856",1433270.24899227
"43857",1465378.65993462
"43858",1440379.67596094
"43859",1324387.01723489
"43860",1268311.65842862
"43861",1237791.74821692
"43862",1209188.90308364
"43863",1198230.29975601
"43864",1202706.94767188
"43865",1213326.06740742
"43866",1278673.49761225
"43867",1345254.70944222
"43868",1380962.41056283
"43869",1377846.69150683
"43870",1341723.93985095
"43871",1221488.93965992
"43872",1123944.93885145
"43873",877949.053724338
"43874",841461.651895671
"43875",835826.974362337
"43876",836127.666762338
"43877",853904.404671428
"43878",891742.233336327
"43879",1163758.32641279
"43880",1213357.09961544
"43881",1206486.87471866
"43882",1204480.728443
"43883",1182739.0702152
"43884",1176496.80075554
"43885",1185266.25340193
"43886",1174608.35178289
"43887",1172282.64171448
"43888",1192252.74895946
"43889",1189159.82002441
"43890",1267111.23024269
"43891",1343229.27529625
"43892",1354393.50599626
"43893",1340652.94069386
"43894",1279224.21939662
"43895",1168869.54837688
"43896",1084789.0572164
"43897",866077.038836439
"43898",820853.278847912
"43899",806108.236637301
"43900",806739.802753174
"43901",804463.357389682
"43902",865276.069366125
"43903",1097380.22125895
"43904",1118025.41466287
"43905",1151945.1800229
"43906",1162105.52043341
"43907",1165466.13671785
"43908",1169979.53370746
"43909",1206094.10747767
"43910",1226816.10961685
"43911",1218125.8714859
"43912",1213436.99965863
"43913",1192497.15335848
"43914",1306960.81358403
"43915",1379824.60260834
"43916",1353882.53690229
"43917",1352538.20018801
"43918",1315789.96653325
"43919",1216689.03647968
"43920",1083080.22557108
"43921",876039.328140959
"43922",844321.009230952
"43923",845273.796497619
"43924",836615.097980905
"43925",825122.59059365
"43926",864983.990814285
"43927",1090284.48455721
"43928",1125938.91883326
"43929",1157268.79121885
"43930",1165136.39400653
"43931",1186159.51407688
"43932",1177799.78258722
"43933",1214353.49732988
"43934",1257755.45120667
"43935",1245311.54107638
"43936",1206688.30918438
"43937",1204287.18417973
"43938",1285574.98240299
"43939",1388343.36633722
"43940",1392037.96887102
"43941",1362078.4640616
"43942",1334120.9220616
"43943",1251389.89078615
"43944",1123847.07838344
"43945",885670.341062391
"43946",837322.175114072
"43947",831397.86681566
"43948",827496.457696612
"43949",846305.051782326
"43950",869921.296069355
"43951",1086221.37688795
"43952",1114708.91097089
"43953",1188612.91031409
"43954",1206388.88993744
"43955",1212741.19639751
"43956",1239847.20316926
"43957",1269941.16304704
"43958",1297450.30718116
"43959",1349155.27755692
"43960",1285430.09250476
"43961",1291508.84438899
"43962",1331874.54543267
"43963",1386717.7486622
"43964",1367942.57696459
"43965",1342537.20221617
"43966",1307781.42534078
"43967",1204562.22483425
"43968",1107355.88272026
"43969",883672.600144485
"43970",838678.28905403
"43971",813566.059832601
"43972",810393.840032601
"43973",810197.082932601
"43974",856013.563824017
"43975",1045528.35509322
"43976",1078128.43355746
"43977",1162976.75286166
"43978",1191528.16224922
"43979",1231744.95071421
"43980",1303377.10461943
"43981",1344252.46562816
"43982",1370662.88377101
"43983",1415172.07169641
"43984",1360441.00059851
"43985",1359783.59346467
"43986",1397460.30247606
"43987",1472017.99171052
"43988",1491321.84017999
"43989",1461168.25223543
"43990",1444407.29366876
"43991",1374537.77318026
"43992",1253442.73940373
"43993",969611.388601828
"43994",912451.712647126
"43995",899629.955961412
"43996",859811.700948304
"43997",864955.780628129
"43998",885994.910465935
"43999",1100417.34435639
"44000",1129957.92889448
"44001",1192607.99060325
"44002",1196833.34478536
"44003",1186010.98694433
"44004",1178343.8099106
"44005",1172764.33564233
"44006",1177269.53873144
"44007",1175728.72384845
"44008",1182190.8293788
"44009",1186632.86702934
"44010",1269994.55095375
"44011",1330818.34564264
"44012",1381985.62898043
"44013",1431517.69659849
"44014",1439378.42273965
"44015",1335292.2246594
"44016",1303310.24779834
"44017",1151562.00750536
"44018",1194331.0373668
"44019",1224698.58014425
"44020",1262240.6325197
"44021",1344201.55464286
"44022",1459144.32464762
"44023",1851528.69603697
"44024",1932509.04858459
"44025",1818754.7070468
"44026",1558509.24780083
