"","x"
"46705",952419.543973437
"46706",887172.568363019
"46707",869288.727914026
"46708",826756.331588703
"46709",810363.742150608
"46710",851319.491616484
"46711",1051738.78696549
"46712",1088727.45307551
"46713",1144668.1851367
"46714",1304188.68248926
"46715",1452215.00420389
"46716",1667105.57190318
"46717",1944538.18275158
"46718",1987558.42586597
"46719",2045376.68791256
"46720",2134486.69060478
"46721",2186863.60296631
"46722",2220885.94240322
"46723",2144059.49502882
"46724",1918985.30966119
"46725",1706152.92782716
"46726",1658460.28726389
"46727",1471267.97592564
"46728",1245531.28672247
"46729",955091.48087014
"46730",895710.36070258
"46731",871156.907048468
"46732",846919.302551233
"46733",826359.037680644
"46734",861036.165478388
"46735",1062791.56117448
"46736",1091050.59084126
"46737",1139886.7048248
"46738",1275149.71708362
"46739",1443640.99690349
"46740",1662578.8725246
"46741",1800932.54570128
"46742",1978673.91263563
"46743",2035391.51022964
"46744",2098333.79575976
"46745",2181084.95354649
"46746",2179361.3356332
"46747",2156449.4556214
"46748",1981666.83754101
"46749",1808643.31634306
"46750",1662576.27947725
"46751",1497680.48994797
"46752",1334628.26061229
"46753",1004206.40880587
"46754",924501.367252495
"46755",894769.78857323
"46756",889169.788220849
"46757",869380.640167947
"46758",892607.072229977
"46759",1064946.376445
"46760",1102185.16265871
"46761",1202801.5838494
"46762",1401294.60452959
"46763",1639345.08782058
"46764",1864939.77747901
"46765",2029787.76932279
"46766",2130248.67451218
"46767",2218636.82486621
"46768",2353963.64793967
"46769",2319330.81655234
"46770",2206280.13353933
"46771",2236694.85221948
"46772",2015531.81763721
"46773",1845489.87961533
"46774",1695912.70587221
"46775",1539127.58033094
"46776",1332297.19339177
"46777",1014905.53617938
"46778",966576.152720997
"46779",933438.086389843
"46780",870500.693638223
"46781",874043.064187497
"46782",893237.605362735
"46783",1064247.36601246
"46784",1108382.02779205
"46785",1176143.45854532
"46786",1375239.7092481
"46787",1625185.79249967
"46788",1839114.13679597
"46789",2007449.95243248
"46790",2131210.24648919
"46791",2238996.09652279
"46792",2318240.65081344
"46793",2299429.02945154
"46794",2327965.38342764
"46795",2187263.94771728
"46796",1989029.38371671
"46797",1901879.17627292
"46798",1754946.23007359
"46799",1582292.11768857
"46800",1393949.02953545
"46801",1133261.76520122
"46802",1041553.38899427
"46803",992789.025430275
"46804",962105.569333774
"46805",932796.917968912
"46806",920847.714977778
"46807",1002553.75452054
"46808",1100654.4624036
"46809",1225024.46787127
"46810",1412070.77227052
"46811",1645802.15723856
"46812",1835753.7900426
"46813",1908074.02870635
"46814",2044207.43990764
"46815",2065526.45050115
"46816",2091224.7341556
"46817",2122085.97825932
"46818",2115542.33905764
"46819",2019109.61125004
"46820",1887130.17731654
"46821",1775599.31693394
"46822",1657996.63623488
"46823",1615288.03620445
"46824",1360026.44238338
"46825",1117093.91523458
"46826",1047289.18063727
"46827",967384.460486548
"46828",952299.388114335
"46829",927368.488136666
"46830",898533.371779648
"46831",956618.40948802
"46832",1055154.41634122
"46833",1180727.838271
"46834",1389715.90874565
"46835",1595592.68826535
"46836",1839734.23406221
"46837",2048171.22913781
"46838",2064229.83845173
"46839",2072993.45544493
"46840",1965802.12230094
"46841",1889132.63931306
"46842",1812520.81216435
"46843",1771262.78160085
"46844",1678749.59841502
"46845",1608734.47040911
"46846",1532073.82154088
"46847",1410423.85777735
"46848",1254112.91431872
"46849",971944.676826546
"46850",938267.211647775
"46851",896015.744867419
"46852",866880.20105432
"46853",847607.560367324
"46854",863875.024379787
"46855",1031953.3279729
"46856",1060077.07535663
"46857",1077324.4805504
"46858",1086804.67656144
"46859",1174504.41806088
"46860",1196574.37114669
"46861",1245129.27095238
"46862",1304198.75408457
"46863",1379198.99485206
"46864",1463585.40125909
"46865",1529759.57747113
"46866",1562863.38104988
"46867",1523449.11204286
"46868",1440533.29273651
"46869",1346860.8354425
"46870",1243524.55380342
"46871",1151057.2342058
"46872",1036011.78683016
"46873",879279.565029508
"46874",807561.330851215
"46875",792098.424283895
"46876",791036.958781373
"46877",782458.936233894
"46878",830272.216784019
"46879",1003387.59982725
"46880",1040270.11197966
"46881",1075876.55920543
"46882",1107346.0206124
"46883",1192519.81259479
"46884",1247022.36789934
"46885",1335782.58598186
"46886",1427178.18902615
"46887",1471582.95604407
"46888",1626481.91759814
"46889",1765688.99418277
"46890",1834574.60571263
"46891",1787760.54553798
"46892",1685280.78019599
"46893",1595000.56654246
"46894",1487008.40282595
"46895",1407313.56144787
"46896",1261016.84663112
"46897",974488.496813647
"46898",922609.975616749
"46899",881507.462110956
"46900",853157.361317543
"46901",851826.225927067
"46902",870686.398007347
"46903",1049680.61531922
"46904",1078822.9781181
"46905",1122344.58122809
"46906",1203751.0317148
"46907",1279140.43440073
"46908",1344481.78557098
"46909",1391368.13755705
"46910",1561253.97849381
"46911",1713674.97914746
"46912",1772746.56734728
"46913",1902963.06608698
"46914",1964960.56527894
"46915",1900121.30428609
"46916",1896248.99509529
"46917",1724857.65018349
"46918",1618283.13788268
"46919",1440352.23861186
"46920",1312683.912082
"46921",1030607.61396479
"46922",972288.740264439
"46923",938893.693226291
"46924",896383.859820663
"46925",903039.872768932
"46926",900763.991700442
"46927",1046364.93855244
"46928",1084740.61920365
"46929",1175058.31180572
"46930",1227020.96117318
"46931",1373533.18454753
"46932",1437264.81346423
"46933",1616854.87835056
"46934",1777185.93262898
"46935",1832363.27813166
"46936",1996295.36394131
"46937",1990068.8467961
"46938",2007668.28489341
"46939",1961895.57766056
"46940",1853622.75120961
"46941",1725999.76152438
"46942",1656794.66534821
"46943",1497395.52982193
"46944",1327329.34294477
"46945",997673.989149704
"46946",957582.761781142
"46947",939305.802150534
"46948",899971.834184964
"46949",887341.70620812
"46950",887784.322780002
"46951",1059172.71643816
"46952",1087155.58191634
"46953",1170218.11298166
"46954",1261218.95540299
"46955",1466456.6024417
"46956",1768360.8275754
"46957",1948711.3557876
"46958",1967041.0143236
"46959",2127048.23082196
"46960",2253328.67081829
"46961",2320261.85395875
"46962",2203819.610327
"46963",2109114.84266025
"46964",1928217.24782456
"46965",1748498.01562795
"46966",1695383.58674517
"46967",1544587.72475375
"46968",1357600.12349231
"46969",1073079.66608554
"46970",1002685.96590834
"46971",979507.143446883
"46972",946119.960636442
"46973",906564.526036604
"46974",901420.280261327
"46975",990003.047573572
"46976",1084541.28624712
"46977",1130215.25849821
"46978",1287921.17384233
"46979",1465451.47966551
"46980",1789938.5606453
"46981",1947117.48815316
"46982",2020031.90368018
"46983",2100094.30237613
"46984",2110528.89806885
"46985",2119701.49051023
