"","x"
"1",799024.163004672
"2",799024.163004672
"3",799024.163004672
"4",799024.163004672
"5",799024.163004672
"6",799024.163004672
"7",1258873.99821922
"8",1258873.99821922
"9",1258873.99821922
"10",1258873.99821922
"11",1295420.7218316
"12",1323988.06022009
"13",1518042.2003985
"14",1518042.2003985
"15",1518042.2003985
"16",1518042.2003985
"17",1435463.34778939
"18",1361475.32515183
"19",1346592.29887936
"20",1346592.29887936
"21",1310045.57526697
"22",1310045.57526697
"23",1233096.27462044
"24",1219320.83751384
"25",799024.163004672
"26",799024.163004672
"27",799024.163004672
"28",799024.163004672
"29",799024.163004672
"30",799024.163004672
"31",1258873.99821922
"32",1258873.99821922
"33",1258873.99821922
"34",1258873.99821922
"35",1258873.99821922
"36",1258873.99821922
"37",1258873.99821922
"38",1258873.99821922
"39",1258873.99821922
"40",1258873.99821922
"41",1258873.99821922
"42",1302005.48608401
"43",1310045.57526697
"44",1310045.57526697
"45",1310045.57526697
"46",1310045.57526697
"47",1233096.27462044
"48",1219320.83751384
"49",799024.163004672
"50",799024.163004672
"51",799024.163004672
"52",799024.163004672
"53",799024.163004672
"54",799024.163004672
"55",1331442.02197944
"56",1436086.03200957
"57",1258873.99821922
"58",1258873.99821922
"59",1258873.99821922
"60",1258873.99821922
"61",1258873.99821922
"62",1258873.99821922
"63",1258873.99821922
"64",1295420.7218316
"65",1295420.7218316
"66",1302005.48608401
"67",1310045.57526697
"68",1310045.57526697
"69",1310045.57526697
"70",1310045.57526697
"71",1233096.27462044
"72",1219320.83751384
"73",815353.114824156
"74",815353.114824156
"75",861653.614984291
"76",914419.210194736
"77",1069657.80020413
"78",1069657.80020413
"79",1489985.50845163
"80",1258873.99821922
"81",1258873.99821922
"82",1258873.99821922
"83",1258873.99821922
"84",1295420.7218316
"85",1295420.7218316
"86",1295420.7218316
"87",1295420.7218316
"88",1295420.7218316
"89",1295420.7218316
"90",1302005.48608401
"91",1310045.57526697
"92",1310045.57526697
"93",1310045.57526697
"94",1375217.84935446
"95",1299801.99351532
"96",1328986.61607815
"97",1019296.55126639
"98",914419.210194736
"99",1069657.80020413
"100",1069657.80020413
"101",1069657.80020413
"102",1069657.80020413
"103",1489985.50845163
"104",1331442.02197944
"105",1258873.99821922
"106",1258873.99821922
"107",1258873.99821922
"108",1295420.7218316
"109",1295420.7218316
"110",1295420.7218316
